title,realisateur,acteur,annee,duree,code_barre,info,dewey,date_acquis,date_hors_circu,ref,ref_adav,resume,tags
"FRINGE : L'intégrale de la saison 2"," Akiva Goldsman/ Bryan Spicer/ Brad Anderson"," Anna Torv/ John Noble/ Joshua Jackson/ Blair Brown/ Lance Reddick/ Kirk Acevedo","2009","966'","5000000004997","
    Standard : DVD-9
    Codage : PAL
    Format vidéo : 1.78, 16/9 compatible 4/3
    Format audio : Dolby Digital 5.1
    Langue(s) : anglais, français
    Sous-titre(s) : français

","Science Fiction","2012-12-04T00:00:00.000Z",,500499,136010,"23 épisodes : La Traversée, Descendance souterraine, Bombes humaines, Souvenirs de l'autre monde, Dream Logic, La Formule, Le Côté obscur, Observée, Médecine chinoise / Médecine alternative",
"MILLENIUM - LES HOMMES QUI N'AIMAIENT PAS LES FEMMES","David Fincher"," Daniel Craig/ Rooney Mara/ Christopher Plummer/ Stellan Skarsgard/ Steven Berkoff/ Robin Wright","2011","158'","5000000005000","    Standard : DVD-9
    Codage : PAL
    Format vidéo : 2,35:1, 16/9 compatible 4/3
    Langue(s) : anglais, français
    Sous-titre(s) : français

","Policier/Suspense","2012-12-04T00:00:00.000Z",,500500,156898,"Une enquêtrice et un journaliste font des recherches sur une disparition au sein d'une riche famille d'industriels et se retrouvent plongés au cur d'intrigues familiales Remake captivant et troublant qui vaut l'original INFORMATION DE LÉDITEUR : LE DI",
"MISSION : IMPOSSIBLE - Protocole fantôme","Brad Bird"," Tom Cruise/ Jeremy Renner/ Simon Pegg/ Paula Patton/ Michael Nyqvist/ Léa Seydoux","2011","133'","5000000005017","    Standard : BD-50+DVD-9
    Codage : PAL
    Format vidéo : 16/9
    Format audio : Dolby Digital 5.1
    Langue(s) : anglais, français
    Sous-titre(s) : français

","Policier/Suspense","2012-12-04T00:00:00.000Z",,500501,156332,"Discrédité à la suite d'un attentat, Ethan Hunt doit faire équipe avec des fugitifs pour blanchir l'Agence Du pur espionnage à l'ancienne, ludique et intelligent, un quatrième opus qui réactualise les thèmes de la série",
"RADIOSTARS","Romain Levy"," Manu Payet/ Clovis Cornillac/ Douglas Attal/ Pascal Demolon/ Benjamin Lavernhe/ Côme Levin","2012","100'","5000000005024","
    Standard : DVD-9
    Codage : PAL
    Format vidéo : 2.35:1, 16/9 compatible 4/3
    Format audio : Dolby Digital 2.0, Dolby Digital 5.1
    Langue(s) : français

","Comédie","2012-12-04T00:00:00.000Z",,500502,163012,"Des animateurs de radio parisiens doivent sillonner la France en bus afin de reconquérir leur public. Premier film. Road movie énergique, une belle liberté de ton, de l'humour décomplexé, une comédie pleine de fraîcheur
",
"UN MONSTRE A PARIS","Eric Bergeron","NULL","2011","82'","5000000005031","    Standard : BD-50+DVD-9
    Codage : PAL
    Format vidéo : 1.85:1, 16/9 compatible 4/3
    Format audio : DTS 5.1
    Langue(s) : français

","Animation","2012-12-04T00:00:00.000Z",,500503,156187,"1910. Dans Paris inondé, un monstre sème la panique. Traqué par le redoutable préfet Maynott, il se réfugie dans un cabaret où chante une star, Lucille Animation française et belle performance musicale",
"300","Zack Snyder"," Gerard Butler/ Lena Headey/ Rodrigo Santoro/ David Wenham/ Dominic West","2006","115'","5000000005048","    Standard : BD-50+DVD-9
    Codage : PAL
    Format vidéo : 2.40, 16/9
    Format audio : Dolby Digital 5.1, Dolby TrueHD 5.1, Linear PCM 5.1
    Langue(s) : allemand, anglais, espagnol, fr","Historique/Guerre","2012-12-04T00:00:00.000Z",,500504,156248,"Adapté du roman graphique de F.Miller, un récit épique de la bataille des Thermopyles, qui opposa, en 480 avant J.-C., 300 Spartiates à l'immense armée perse Débauche d'effets, de fureur et de sang",
"BATTLESHIP","Peter Berg"," Taylor Kitsch/ Alexander Skarsgard/ Rihanna","2012","126'","5000000005055","
    Standard : BD-50
    Codage : PAL
    Format vidéo : 2.35:1, 16/9
    Format audio : Dolby Digital 5.1
    Langue(s) : anglais, espagnol, français, italien, néerlandais
    Sous-titre(s)","Aventure/Action","2012-12-04T00:00:00.000Z",,500505,160569,"Au large d'Hawaii, l'US Navy est menacée par une forme étrange qui émerge à la surface des eaux, suivie par des dizaines dautres dotées dune puissance de destruction inimaginable",
"BATMAN - DARK KNIGHT - Le Chevalier noir","Christopher Nolan"," Christian Bale/ Heath Ledger/ Aaron Eckhart/ Maggie Gyllenhaal/ Morgan Freeman/ Michael Caine","2008","NULL","5000000005062","    Standard : BD-25+BD-50+DVD-9
    Codage : PAL
    Format vidéo : 2.40, 16/9
    Format audio : Dolby Digital 5.1, DTS HD 5.1
    Langue(s) : allemand, anglais, espagnol, français, italien,","Science Fiction","2012-12-04T00:00:00.000Z",,500506,156258,"A Gotham City, le Joker sème le chaos, Batman doit affronter ce nouveau génie du crime Superbe adaptation du comics, intense et désespérée, portée par l'interprétation hallucinante de H.Ledger",
"OR NOIR/ANNAUD","Jean-Jacques Annaud"," Tahar Rahim/ Mark Strong/ Antonio Banderas/ Freida Pinto","2011","129'","5000000005079","
    Standard : BD-50+DVD-9
    Format vidéo : 2,35:1, 16/9
    Format audio : Dolby Digital 5.1, DTS HD 5.1
    Langue(s) : anglais, français
    Sous-titre(s) : français

","Aventure/Action","2012-12-04T00:00:00.000Z",,500507,156281,"La rivalité opposant deux émirs dArabie et lascension dun jeune prince qui va unir les tribus du royaume du désert A la conquête du pétrole dans l'Arabie des années 1930",
"FRINGE : L'Intégrale de la saison 3"," Akiva Goldsman/ Bryan Spicer/ Brad Anderson"," Anna Torv/ John Noble/ Joshua Jackson/ Blair Brown/ Lance Reddick/ Kirk Acevedo","2010","966'","5000000005086","
    Standard : DVD-9
    Codage : PAL
    Format vidéo : 1.78, 16/9 compatible 4/3
    Format audio : Dolby Digital 5.1
    Langue(s) : anglais, français
    Sous-titre(s) : français

","Science Fiction","2012-12-04T00:00:00.000Z",,500508,148867,"22 épisodes : Olivia Olivia, La Boîte de Pandore, Au détail près , Secrets enfouis, Prison dorée, Fréquence pirate, Candy Man, Le Retour, Le Marionnettiste, Réactions en chaîne, De l'homme à la machine, Questions et réponses, Rena",
