title,code_barre,date_acquis,date_hors_circu,ref,tags
"QUE CHOISIR : SEPTEMBRE 2002","4102002090006","2003-05-21T00:00:00.000Z",,400069,
"QUE CHOISIR : NOVEMBRE 2002","4102002110001","2003-05-21T00:00:00.000Z",,400070,
"QUE CHOISIR : DECEMBRE 2002","41020021200010","2003-05-21T00:00:00.000Z",,400071,
"QUE CHOISIR : HORS SERIE 2002 N°88 Banques","4102002000005","2003-05-21T00:00:00.000Z",,400072,
"ART ET DéCORATION : MAI  2003 n.400","40220030500010","2003-05-23T00:00:00.000Z",,400073,
"STUDIO MAGAZINE : MAI 2003","4122003050007","2003-05-23T00:00:00.000Z",,400074,
"ACTION AUTO MOTO : JUIN 2003","40120030600010","2003-05-23T00:00:00.000Z",,400075,
"60 MILLIONS DE CONSOMMATEURS : MAI 2003 n 372","4082003050004","2003-05-23T00:00:00.000Z",,400076,
"ORDINATEUR INDIVIDUEL : JUIN 2003","4092003060002","2003-05-23T00:00:00.000Z",,400077,
"60 MILLIONS DE CONSOMMATEURS : JANVIER 2003 n°368","4082003010008","2003-05-23T00:00:00.000Z",,400079,
"CUISINE ET VINS DE FRANCE : SEPTEMBRE OCTOBRE  2002, n°87","4032002090006","2003-06-03T00:00:00.000Z",,400080,
"SCIENCES ET AVENIR : JUIN 2003","4112003060007","2003-06-06T00:00:00.000Z",,400081,
"QUE CHOISIR : JUIN 2003","4102003060008","2003-06-06T00:00:00.000Z",,400084,
"60 MILLIONS DE CONSOMMATEURS : JUIN 2003","4082003060003","2003-06-06T00:00:00.000Z",,400085,
"DéTOURS EN FRANCE : JUIN 2003 N°82","4042003060007","2003-06-06T00:00:00.000Z",,400086,
"STUDIO MAGAZINE : JUIN 2003","4122003060006","2003-06-13T00:00:00.000Z",,400087,
"CUISINE ET VINS DE FRANCE : JUIN JUILLET AOUT 2003 N°92","4032003060008","2003-06-13T00:00:00.000Z",,400088,
"DéTOURS EN FRANCE : JANVIER 2002","4042002010003","2003-06-13T00:00:00.000Z",,400089,
"DéTOURS EN FRANCE : FEVRIER 2001","4042001020003","2003-06-13T00:00:00.000Z",,400090,
"CUISINE ET VINS DE FRANCE : Juin  Juillet  Aout 2002 n.86","4032002060009","2003-06-13T00:00:00.000Z",,400091,
"ORDINATEUR INDIVIDUEL : JUILLET 2003","4092003070001","2003-06-20T00:00:00.000Z",,400093,
"ART ET DéCORATION : JUIN 2003 n.401","4022003070008","2003-06-20T00:00:00.000Z",,400094,
"ART ET DéCORATION : JUILLET-AOUT 2003 n.402","4022003080007","2003-06-20T00:00:00.000Z",,400095,
"L'éCOLE DES PARENTS : JUIN SEPTEMBRE 2003","4052003060006","2003-06-20T00:00:00.000Z",,400096,
"SCIENCES ET AVENIR : HORS SERIE 2003 Juin-Juillet","4112003000003","2003-06-26T00:00:00.000Z",,400097,
"SCIENCES ET AVENIR : JUILLET 2003 n.677","4112003070006","2003-06-26T00:00:00.000Z",,400098,
"GéO : JUILLET 2003 n.293","4062003070004","2003-06-26T00:00:00.000Z",,400099,
"QUE CHOISIR : JUILLET-AOUT 2003 n. 406","4102003080006","2003-06-27T00:00:00.000Z",,400100,
"ACTION AUTO MOTO : JUILLET 2003 n.102","4012003070009","2003-06-27T00:00:00.000Z",,400101,
"60 MILLIONS DE CONSOMMATEURS : JUILLET-AOUT 2003","4082003070002","2003-06-27T00:00:00.000Z",,400102,
"STUDIO MAGAZINE : JUILLET AOUT 2003 N. 191","4122003080004","2003-07-03T00:00:00.000Z",,400103,
"DéTOURS EN FRANCE : JUILLET 2003 N°83","4042003070006","2003-07-04T00:00:00.000Z",,400104,
"100 IDÉES JARDIN : automne  2001 n.11","4072001090003","2003-07-18T00:00:00.000Z",,400105,
"DÉTOURS EN FRANCE : MAI 2000","4042000050001","2003-07-25T00:00:00.000Z",,400106,
"GÉO : AOUT 2003 n 294","4062003080003","2003-08-08T00:00:00.000Z",,400107,
"ACTION AUTO MOTO : AOUT 2003 n. 103","4012003080008","2003-08-08T00:00:00.000Z",,400108,
"CUISINE ET VINS DE FRANCE : SEPTEMBRE OCTOBRE 2003 n.93","4032003090005","2003-08-29T00:00:00.000Z",,400109,
"STUDIO MAGAZINE : HORS SERIE 2003 SPECIAL HOLLYWOOD n. 192","4122003000002","2003-08-29T00:00:00.000Z",,400110,
"GÉO : SEPTEMBRE 2003 n.295","4062003090002","2003-08-29T00:00:00.000Z",,400111,
"QUE CHOISIR : SEPTEMBRE 2003 n.407","4102003090005","2003-08-29T00:00:00.000Z",,400112,
