title,auteur,code_barre,dewey,date_acquis,date_hors_circu,ref,cote,resume,tags
"AU PLUS NOIR DE LA NUIT","BRINK A.","2000000007267","Romans anglais",,,200726,"NULL",,
"LA CHAMBRE DES DAMES : T 2 LE JEU DE LA TENTATION","BOURIN J.","2000000007274","Romans français",,,200727,"NULL",,
"LE CHATEAU DE MA MERE","PAGNOL M.","2000000007281","Romans français",,,200728,"NULL",,
"LA GLOIRE DE MON PERE","PAGNOL M.","2000000007298","Romans français",,,200729,"NULL",,
"LES SEIGNEURS DE LA GUERRE","KLEIN G.","2000000007304",,,,200730,"NULL",,
"L'AMOUR EN PLUS -HISTOIRE DE L'AMOUR MATERNEL (17è","BADINTER E.","2000000007311",,,,200731,"NULL",,
"CIEL CHANGEANT","URQUHART J.","2000000007328","Romans anglais",,,200732,"NULL",,
"LE ROYAUME INTERDIT","TREMAIN R.","2000000007335","Romans anglais",,,200733,"NULL",,
"LA SORCIERE DE BROOKLYN","VACHS A.","2000000007342",,,,200734,"NULL",,
"LE JOURNAL HISTORIQUE DE L'ALSACE : T 1","RIEGERT H.","2000000007359",,,,200735,"NULL",,
"TANT QU'IL Y AURA DES PROFS","HANON H. - ROTMAN P.","2000000007397",,,,200739,"NULL",,
"LAURA BRAHMS","CAUVIN P.","2000000007410","Romans français",,,200741,"NULL",,
"LES JUPES CULOTTES","DORIN F","2000000007427","Romans français",,,200742,"NULL",,
"LE CHOC INFORMATIQUE","ADER M.","2000000007434",,,,200743,"NULL",,
"PSYCHANALYSE DES CONTES DE FEES","BETTELHEIM B.","2000000007441",,,,200744,"NULL",,
"LES MOUVEMENTS DE MODE EXPLIQUES AUX PARENTS","SORAL A.","2000000007458",,,,200745,"NULL",,
"LE BAL DU GOUVERNEUR","PISIER M. F.","2000000007465","Romans français",,,200746,"NULL",,
"LE CAVALIER ROUGE","DE BOURNAZEL H.","2000000007472","Romans français",,,200747,"NULL",,
"LES LEOPARDS AFFRONTES - VERCHAMBRAY","DUMONTIER M.","2000000007489","Romans français",,,200748,"NULL",,
"TEMOIN MUET","CHRISTIE A.","2000000007496",,,,200749,"NULL",,
"LA MARQUISE SORTIT A CINQ HEURES","MAURIAC C.","2000000007502","Romans français",,,200750,"NULL",,
"LES ABIMES DU COEUR","RIHOIT C.","2000000007519","Romans français",,,200751,"NULL",,
"LA FACULTE DES SONGES","CHATEAUREYNAUD G. O.","2000000007526","Romans français",,,200752,"NULL",,
"HISTOIRES INATTENDUES","VERNE J.","2000000007533","Romans français",,,200753,"NULL",,
"L'EPONGE","HAUMONT M. L.","2000000007540","Romans français",,,200754,"NULL",,
"MARIA","CAVANNA","2000000007557","Romans français",,,200755,"NULL",,
"BONNE FETE LE TURC !","ARJOUNI J.","2000000007564","Romans allemands",,,200756,"NULL",,
"LA BALLADE DES JOURS PASSES","BARBER N.","2000000007571","Romans anglais",,,200757,"NULL",,
"ADIEU VOLODIA","SIGNORET S.","2000000007588","Romans français",,,200758,"NULL",,
"LE DIABLE EN RIT ENCORE","DEFORGES R.","2000000007595","Romans français",,,200759,"NULL",,
"LES ETOILES DU PACIFIQUE","CATO N.","2000000007601","Romans anglais",,,200760,"NULL",,
"QUI C'EST CE GARCON","BURON N.","2000000007625","Romans français",,,200762,"NULL",,
"MINERAUX ROCHES ET FOSSILES","HAMILTON W. R.","2000000007632",,,,200763,"NULL",,
"TOUS LES OISEAUX D'EUROPE","BRUUN B. - SINGER A.","2000000007649",,,,200764,"NULL",,
"CHAMPIGNONS D'EUROPE","SVRCEK M. - KUBICKA J.","2000000007656",,,,200765,"NULL",,
"DES ENFANTS DANS LES ARBRES","BOUSSINOT R.","2000000007663","Romans français",,,200766,"NULL",,
"LE GRAND FEU","BOURIN J.","2000000007670","Romans français",,,200767,"NULL",,
"LA GRANDE BRETAGNE","BAILHACHE","2000000007687",,,,200768,"NULL",,
"OU ES-TU ?","LEVY MARC","2000000041438","Romans français","2005-04-15T00:00:00.000Z",,204143,"NULL",,
"CHARLIE","KING S.","2000000007700",,,,200770,"NULL",,
"LA CAUSE DES ENFANTS","DOLTO F.","2000000007717","Romans français",,,200771,"NULL",,
"COMME NEIGE AU SOLEIL","BOYD W.","2000000007724","Romans anglais",,,200772,"NULL",,
"UN CRI DANS LA NUIT","HIGGINS CLARK M.","2000000007731",,,,200773,"NULL",,
"FORTITUDE","COLLINS L.","2000000007748","Romans anglais",,,200774,"NULL",,
"LA NUIT DU SOLSTICE","LIEBERMAN H.","2000000007755","Romans anglais",,,200775,"NULL",,
"LAVOCAT INDIEN","WELCH J.","2000000007762","Romans anglais",,,200776,"NULL",,
"LE VOYAGEUR SANS BAGAGE -LE BAL DES VOLEURS","ANOUILH J.","2000000007779","Romans français",,,200777,"NULL",,
"UN CAUCHEMAR","BROCHIER J. J.","2000000007786","Romans français",,,200778,"NULL",,
"QUELQUE PART TOUT PRES DU COEUR DE L'AMOUR","COURCHAY C.","2000000007793","Romans français",,,200779,"NULL",,
"LA CITE DE LA JOIE","LAPIERRE D.","2000000007809","Romans français",,,200780,"NULL",,
"LE BUNKER","CHAMPION J.","2000000007816","Romans français",,,200781,"NULL",,
"SCARLETT, SI POSSIBLE","PANCOL K.","2000000007823","Romans français",,,200782,"NULL",,
"LES ENFANTS DU SOLEIL","GEDGE P.","2000000007830","Romans anglais",,,200783,"NULL",,
"BAL TRAGIQUE A LA CONCORDE","S P Q R","2000000007847",,,,200784,"NULL",,
"CARTE IGN 3714 EST BOUXWILLER","NULL","2000000041377","Romans, divers","2005-03-04T00:00:00.000Z",,204137,"NULL",,
"L'HERITAGE SCARLATTI","LUDLUM R.","2000000007861","Romans anglais",,,200786,"NULL",,
"LA DANSE DE L'OURS","CRUMLEY J.","2000000007878",,,,200787,"NULL",,
"LA MAISON SANS RACINES","CHEDID A.","2000000007885","Romans français",,,200788,"NULL",,
"LA QUEUE DU SCORPION","GERNIGON C.","2000000007892",,,,200789,"NULL",,
"CAFE TURC","ARJOUNI J.","2000000007908","Romans allemands",,,200790,"NULL",,
"LE RIRE DE LAURA","MALLET JORIS F.","2000000007915","Romans français",,,200791,"NULL",,
"LE VICOMTE EPINGLE","REMY P. J.","2000000007922",,,,200792,"NULL",,
"L'EPERVIER D'AMERIQUE","CHEBEL C.","2000000007939","Romans français",,,200793,"NULL",,
"UN ETRANGER DANS LA MAISON","MAC DONALD P. J.","2000000007946",,,,200794,"NULL",,
"UN POISSON MUET SURGI DE LA MER","BRAMLY S.","2000000007953","Romans français",,,200795,"NULL",,
"LE BRUIT SOLITAIRE DU COEUR","TROYAT H.","2000000007960","Romans français",,,200796,"NULL",,
"RUE DES VICTOIRES","LAGORCE G.","2000000007977","Romans français",,,200797,"NULL",,
"LES TROIS CHENES","DENUZIERE M.","2000000007984","Romans français",,,200798,"NULL",,
"LES PERSIENNES","PRATTES J.","2000000007991","Romans français",,,200799,"NULL",,
"LES PROMESSES DU CIEL ET DE LA TERRE","MICHELET C.","2000000008004","Romans français",,,200800,"NULL",,
"LA PASSION DU DOCTEUR CHRISTIAN","MAC CULLOUGH C.","2000000008011","Romans anglais",,,200801,"NULL",,
"LE SOLEIL ET LA ROUE","VINCENT R.","2000000008028","Romans français",,,200802,"NULL",,
"UN NOMME NOVEMBRE","GRANGER  B.","2000000008035",,,,200803,"NULL",,
"SEGOU","CONDE M.","2000000008042","Romans français",,,200804,"NULL",,
"MARIE CASSE CROUTE","AXELRAD E.","2000000008059","Romans français",,,200805,"NULL",,
"LAZARE OU LE GRAND SOMMEIL","ABSIRE A.","2000000008066","Romans français",,,200806,"NULL",,
"L'AMOUREUX DE LA DERNIERE PLUIE","VERGUIN P","2000000008073","Romans français",,,200807,"NULL",,
"EPONINE","DE LESELEUC","2000000008080","Romans français",,,200808,"NULL",,
"LA MEMOIRE DU FLEUVE","DEDET C.","2000000008097","Romans français",,,200809,"NULL",,
"ALICE VAN MEULEN","DUQUESNE J.","2000000008103","Romans français",,,200810,"NULL",,
"MAYRIG","VERNEUIL H.","2000000008110","Romans français",,,200811,"NULL",,
"LA PEAU DE CESAR","BARJAVEL R.","2000000008127",,,,200812,"",,
"L'ORIENTALE","MOATI N.","2000000008134","Romans français",,,200813,"NULL",,
"ORO","ZYKE C.","2000000008141","Romans français",,,200814,"NULL",,
"LE LUMINEUX DESTIN D'A DAVID NEEL","CHALON J.","2000000008158","Romans français",,,200815,"NULL",,
"LA COLERE DE L'AGNEAU","HOCQUENGHEIM G.","2000000008165","Romans français",,,200816,"NULL",,
"QUAND BERTRAND ETAIT LA","LORIOT N.","2000000008172","Romans français",,,200817,"NULL",,
"SANS LA MISERICORDE DU CHRIST","BIANCIOTTI H.","2000000008196","Romans français",,,200819,"NULL",,
"NAISSANCE D'UNE PASSION","BRAUDEAU M.","2000000008202","Romans français",,,200820,"NULL",,
"MR. NOON","LAWRENCE D. H.","2000000008219","Romans anglais",,,200821,"NULL",,
"LA BICYCLETTE BLEUE","DEFORGES R.","2000000008226","Romans français",,,200822,"NULL",,
"UN MEC OU LES MEMOIRES D'UN MACHO","LEMOINE M.","2000000008233","Romans français",,,200823,"NULL",,
"101 AVENUE HENRI MARTIN","DEFORGES R.","2000000008240","Romans français",,,200824,"NULL",,
"ULYSSE II","JOYCE J.","2000000008257","Romans anglais",,,200825,"NULL",,
"L'EOLIENNE","HARTLING P.","2000000008264","Romans allemands",,,200826,"NULL",,
"SA MAJESTE DES MOUCHES","GOLDING","2000000008271","Romans anglais",,,200827,"NULL",,
"LILE DU JOUR DAVANT","ECO U.","2000000008288","Romans italiens",,,200828,"NULL",,
"ULYSSE I","JOYCE J.","2000000008295","Romans anglais",,,200829,"NULL",,
"CITES DISPARUES","CALVANI V.","2000000008301",,,,200830,"NULL",,
"VLADIMIR ROUBAIEV","LENTZ S.","2000000008325","Romans français",,,200832,"NULL",,
"MES NUITS SONT PLUS BELLES QUE VOS JOURS","BILLETDOUX R.","2000000008332","Romans français",,,200833,"NULL",,
"LES NOCES BARBARES","QUEFFELEC Y.","2000000008349","Romans français",,,200834,"NULL",,
"LA GOUTTE D'OR","TOURNIER M.","2000000008356","Romans français",,,200835,"NULL",,
"MISERERE","CLAVEL B.","2000000008363","Romans français",,,200836,"NULL",,
"EN TERRE ETRANGERE","HEINLEIN R.","2000000008370",,,,200837,"NULL",,
"LE MIROIR AUX ESPIONS","LE CARRE J.","2000000008387",,,,200838,"NULL",,
"UNE FEMME TRAQUEE","COONEY C. B.","2000000008394",,,,200839,"NULL",,
"JE VOULAIS CHANGER LE MONDE","ESSEL A.","2000000008400","Romans français",,,200840,"NULL",,
"UNE PETITE VILLE EN ALLEMAGNE","LE CARRE J.","2000000008417",,,,200841,"NULL",,
"BAGATELLE","DENUZIERE M.","2000000008424","Romans français",,,200842,"NULL",,
"FAUSSE RIVIERE","DENUZIERE M.","2000000008431","Romans français",,,200843,"NULL",,
"LE PATRON","MACHIAVEL","2000000008448",,,,200844,"NULL",,
"LES BAGNARDES","LAUR V.","2000000008455","Romans français",,,200845,"NULL",,
"DARA","BESSON P.","2000000008462","Romans français",,,200846,"NULL",,
"TROIS HOMMES A ABATTRE","MANCHETTE J. P.","2000000008479",,,,200847,"NULL",,
"CHARADE POUR ECROULES","CHANDLER R.","2000000008486",,,,200848,"NULL",,
"LA MARCHE TRUQUEE","A D G","2000000008493",,,,200849,"NULL",,
"CLINIQUE PRIVEE","KONSALIK","2000000008509",,,,200850,"NULL",,
"LE ROI VERT","SULITZER P. L.","2000000008516","Romans français",,,200851,"NULL",,
"LA DAME DU NIL","GEDGE P.","2000000008523","Romans anglais",,,200852,"NULL",,
"VIVRE EN RUSSIE","BINYON M.","2000000008530",,,,200853,"NULL",,
"UNE VIE POUR DEUX","CARDINAL M.","2000000008547","Romans français",,,200854,"NULL",,
"LA NOSTALGIE N'EST PLUS CE QU'ELLE ETAIT","SIGNORET S.","2000000008554","Romans français",,,200855,"NULL",,
"ELLYNN","MALLET R.","2000000008561","Romans français",,,200856,"NULL",,
"LE DEMON DU PASSE","HIGGINS CLARK M.","2000000008578",,,,200857,"NULL",,
"LE CRI DU KALAHARI","OWENS M. D.","2000000008585","Romans anglais",,,200858,"NULL",,
"LA CLASSE","SEGAL E.","2000000008592","Romans anglais",,,200859,"NULL",,
"POPOV","SULITZER P. L.","2000000008608","Romans français",,,200860,"NULL",,
"LE SHANGAIE","LE GAL A.","2000000008615","Romans français",,,200861,"NULL",,
"LA VIE D'UN BEBE","WEYERGANS F.","2000000008622","Romans français",,,200862,"NULL",,
"LA NUIT ROUGE","COATMEUR J. F.","2000000008639",,,,200863,"NULL",,
"LA LOCOMOTIVE A VAPEUR CELESTE","CONEY M.","2000000008646",,,,200864,"NULL",,
"LES MONADES URBAINES","SILVERBERG R.","2000000008653",,,,200865,"NULL",,
"LE PACTE HOLCROFT","LUDLUM R.","2000000008677",,,,200867,"NULL",,
"DAVID ET OLIVIER","SABATIER R.","2000000008684","Romans français",,,200868,"NULL",,
"LHOMME SEUL","ATXAGA B.","2000000008691","Romans espagnols",,,200869,"NULL",,
"A L'OMBRE DE CLAIRE","ROUSSEAU M.","2000000008707","Romans français",,,200870,"NULL",,
"LE TEMOIN OCCULAIRE","WEISS E.","2000000008714","Romans allemands",,,200871,"NULL",,
"LES TROUBLE-FETE","ARNOTHY C.","2000000008721","Romans français",,,200872,"NULL",,
"UNE AIGUILLE EN PLEIN COEUR","MATHESON R.","2000000008738",,,,200873,"NULL",,
"L'AMOUR D'UNE REINE","LOCHIE D.","2000000008745","Romans anglais",,,200874,"NULL",,
"JEAN DE FLORETTE - MANON DES SOURCES","PAGNOL M.","2000000008769","Romans français",,,200876,"NULL",,
"POUR UN ARPENT DE TERRE : T 02 LES PROMESSES","MICHELET C.","2000000008776","Romans français",,,200877,"NULL",,
"LA PASSION DES FEMMES","JAPRISOT S.","2000000008783","Romans français",,,200878,"NULL",,
"ADIEU CHER POISSON","ROBERT J.","2000000008806","Romans français",,,200880,"NULL",,
"LA GUERRE DES CERVEAUX","LENTERIC B.","2000000008813","Romans français",,,200881,"NULL",,
"LES ETOILES DE COMPOSTELLE","VINCENOT H.","2000000008820","Romans français",,,200882,"NULL",,
"LE ROYAUME OUBLIE","AURILLAC M.","2000000008837","Romans français",,,200883,"NULL",,
"LE SANG DES ROIS","BERLING P.","2000000008844","Romans allemands",,,200884,"NULL",,
"L'ENCHANTEUR","BARJAVEL R.","2000000008851","Romans français",,,200885,"NULL",,
"LE TEMPS DES CARBEC","SIMIOT B.","2000000008868","Romans français",,,200886,"NULL",,
"MONSIEUR VOUS OUBLIEZ VOTRE CADAVRE","LAINE P.","2000000008875","Romans français",,,200887,"NULL",,
"LE CINQUIEME CAVALIER","LAPIERRE D. - COLLINS L.","2000000008882","Romans français",,,200888,"NULL",,
"LE CIEL N'OUBLIE JAMAIS PERSONNE","DALLAYRAC D.","2000000008899","Romans français",,,200889,"NULL",,
"LES FRERES MORAVES","COULONGES H.","2000000008905","Romans français",,,200890,"NULL",,
"DES DIAMANTS POUR MRS.CLARK","DICKINSON W.","2000000008912",,,,200891,"NULL",,
"HARRICANA","CLAVEL B.","2000000008929","Romans français",,,200892,"NULL",,
"L'OR DE LA TERRE","CLAVEL B.","2000000008936","Romans français",,,200893,"NULL",,
"LA BIBLIOTHEQUE DU CAPITAINE NEMO","ENQUIST P. O.","2000000008943",,,,200894,"NULL",,
"LE LIT D'ACAJOU","DIWO J.","2000000008950","Romans français",,,200895,"NULL",,
"HELLICONIA - L'ETE","ALDISS B.","2000000008967",,,,200896,"NULL",,
"MEMOIRES D'UNE JEUNE FILLE RANGEE","BEAUVOIR S.","2000000008974","Romans français",,,200897,"NULL",,
"DIFFERENTES SAISONS","KING S.","2000000008981",,,,200898,"NULL",,
"AFRICAN LADY","WOOD B.","2000000008998","Romans anglais",,,200899,"NULL",,
"NON, MAMAN, NON","BARGATE V.","2000000009001","Romans anglais",,,200900,"NULL",,
"LE MYTHE DE SISYPHE","CAMUS A.","2000000009018","Romans français",,,200901,"NULL",,
"LE RECOMMENCEMENT","HANDKE P.","2000000009025","Romans allemands",,,200902,"NULL",,
"LE PENDULE DE FOUCAULT","ECO U.","2000000009032","Romans italiens",,,200903,"NULL",,
"DIMANCHES D'AOUT","MODIANO P.","2000000009049","Romans français",,,200904,"NULL",,
"VALET DE NUIT","HOST M.","2000000009056","Romans français",,,200905,"NULL",,
"LES VACANCES DU FANTOME","VAN CAUVELAERT D.","2000000009063","Romans français",,,200906,"NULL",,
"LE LOUP D'ECUME","FAJARDIE F. H.","2000000009070",,,,200907,"NULL",,
"REGARDEZ-MOI","BROOKNER A.","2000000009087","Romans anglais",,,200908,"NULL",,
"LE JOURNALISTE INDESIRABLE","WALLRAFF G.","2000000009094","Romans allemands",,,200909,"NULL",,
"BILLE EN TETE","JARDIN A.","2000000009100","Romans français",,,200910,"NULL",,
"QUESTION DE VIE OU DE MORT","SHAW I.","2000000009117",,,,200911,"NULL",,
"MOUCHE-TOI CLEOPATRE","XENAKIS F.","2000000009124","Romans français",,,200912,"NULL",,
"LE NEVEU D'AMéRIQUE","SEPULVEDA LUIS","2000000041445","Romans espagnols","2005-04-15T00:00:00.000Z",,204144,"NULL",,
"L'OEUVRE DE DIEU, LA PART DU DIABLE","IRVING J.","2000000009148","Romans anglais",,,200914,"NULL",,
"LE TOMBEAU DU SOLEIL","LABURTHE TOLRA P. H.","2000000009155","Romans français",,,200915,"NULL",,
"L'ETUDIANT ETRANGER","LABRO P.","2000000009162","Romans français",,,200916,"NULL",,
"LE SALON DU WURTEMBERG","QUIGNARD P.","2000000009179","Romans français",,,200917,"NULL",,
"PAROLES D'ETRANGER","WIESEL E.","2000000009186","Romans français",,,200918,"NULL",,
"LE TESTAMENT D'UN POETE JUIF ASSASSINE","WIESEL E.","2000000009193","Romans français",,,200919,"NULL",,
"LA SIMULATION","MEYER M.","2000000009209","Romans français",,,200920,"NULL",,
"LA SIGNIFICATION DE L'EXISTENCE","FRUTTERO - LUCENTINI","2000000009216","Romans italiens",,,200921,"NULL",,
"WANDERWEG","LEGER J. A.","2000000009223","Romans français",,,200922,"NULL",,
"LA VIE RIPOLIN","VAUTRIN J.","2000000009230","Romans français",,,200923,"NULL",,
"LE COEUR PUR","TOWNSEND WARNER S.","2000000009247","Romans anglais",,,200924,"NULL",,
"LA TERRORISTE","LESSING D.","2000000009254","Romans anglais",,,200925,"NULL",,
"LES YEUX BLEUS CHEVEUX NOIRS","DURAS M.","2000000009261","Romans français",,,200926,"NULL",,
"QUI SE SOUVIENT DES HOMMES","RASPAIL J.","2000000009278","Romans français",,,200927,"NULL",,
"UNE VILLE IMMORTELLE","REMY P. J.","2000000009285","Romans français",,,200928,"NULL",,
"ABE LES ANNEES D'ENFANCE","SOYINKA W.","2000000009292","Romans anglais",,,200929,"NULL",,
"L'EMPIRE CLANDESTIN","MILLS J.","2000000009308","Romans anglais",,,200930,"NULL",,
"A NOUS DEUX,MANHATTAN","KRANTZ J.","2000000009315","Romans anglais",,,200931,"NULL",,
"CHANTS DE LA TERRE LOINTAINE","CLARKE A. C.","2000000009322",,,,200932,"NULL",,
"L'ENFER","BELLETTO R.","2000000009339","Romans français",,,200933,"NULL",,
"SUBSTANCE B","LENTERIC B.","2000000009346","Romans français",,,200934,"NULL",,
"OPERATION GOMORRHE","PARIS A.","2000000009353",,,,200935,"NULL",,
"LES LIONS DU PANSHIR","FOLLETT K.","2000000009360","Romans anglais",,,200936,"NULL",,
"STATION BALNEAIRE","GIUDICELLI C.","2000000009377","Romans français",,,200937,"NULL",,
"S'IL NE RESTE QUE L'AMOUR","SUYIN H.","2000000009384","Romans anglais",,,200938,"NULL",,
"LA COLLINE INTERDITE","SMITH M C.","2000000009391","Romans anglais",,,200939,"NULL",,
"LES CAVALIERS DU VELD","DE SAINT PIERRE M.","2000000009407","Romans français",,,200940,"NULL",,
"LA NUIT TOMBE SUR MANHATTAN","DALEY R.","2000000009414",,,,200941,"NULL",,
"LES FOSSES CAROLINES","CAVANNA","2000000009421","Romans français",,,200942,"NULL",,
"LES FUNERAILLES DE LA SARDINE","COMBESCOT P.","2000000009438","Romans français",,,200943,"NULL",,
"ORIENT EXTREME - UNE VIE EN ASIE","GUILLAIN R.","2000000009445","Romans français",,,200944,"NULL",,
"LE DIABLE BLANC","DUFOUR H.","2000000009452","Romans français",,,200945,"NULL",,
"L'ERREUR","SAINT-LAURENT C.","2000000009469",,,,200946,"NULL",,
"PLUS GRAND QUE L'AMOUR","LAPIERRE D.","2000000009476","Romans français",,,200947,"NULL",,
"LES ANNEES SAUVAGES","CARRIERE J.","2000000009483","Romans français",,,200948,"NULL",,
"L'HERBE A BRULER","DETREZ C.","2000000009490",,,,200949,"NULL",,
"LA PEAU SUR LES OS","BACHMAN R.","2000000009506",,,,200950,"NULL",,
"LE PRINTEMPS D'HELLICONIA","ALDISS B.","2000000009513",,,,200951,"NULL",,
"TROPIQUE DES ETOILES","COLLECTIF","2000000009520",,,,200952,"NULL",,
"AVRIL EST UN MOIS CRUEL","COURCHAY C.","2000000009537","Romans français",,,200953,"NULL",,
"UN SANG D'AQUARELLE","SAGAN F.","2000000009544","Romans français",,,200954,"NULL",,
"UN CERTAIN GOUT POUR LA MORT","JAMES P. D.","2000000009551",,,,200955,"NULL",,
"LE LIEVRE DE VATANEN","PAASILINNA","2000000009568",,,,200956,"NULL",,
"THEATRE I","VIAN B.","2000000009575","Romans français",,,200957,"NULL",,
"AMAROK","CLAVEL B.","2000000009582","Romans français",,,200958,"NULL",,
"LES AMOURS BLESSES","BOURIN J.","2000000009599","Romans français",,,200959,"NULL",,
"LA COUPE D'OR","PLAIN B.","2000000009605","Romans anglais",,,200960,"NULL",,
"NARCOSE","COATMEUR J. F.","2000000009612",,,,200961,"NULL",,
"DADDY","DURAND L.","2000000009629","Romans français",,,200962,"NULL",,
"CARTE IGN 3713 EST BITCHE","NULL","2000000041414","Romans, divers","2005-03-04T00:00:00.000Z",,204141,"NULL",,
"LES CHEMINS D'ETOILES","SIGNOL C.","2000000009643","Romans français",,,200964,"NULL",,
"LE HAREM","HEBRARD F.","2000000009650","Romans français",,,200965,"NULL",,
"LA LUMIERE","LINDGREN T.","2000000009667",,,,200966,"NULL",,
"QUAND LES PETITES FILLES S'APPELAIENT SARAH","FORLANI R.","2000000009674","Romans français",,,200967,"NULL",,
"LE CRIME DE COMBE JADOUILLE","LE VARLET B.","2000000009681","Romans français",,,200968,"NULL",,
"LE COREEN","BORNICHE R.","2000000009698",,,,200969,"NULL",,
"CAR LA VIE EST DANS LE SANG","CRAWFORD F. M.","2000000009704",,,,200970,"NULL",,
"VERA VA MOURIR","RENDELL R.","2000000009711",,,,200971,"NULL",,
"LES DAMES DE MISSALONGHI","MAC CULLOUGH C.","2000000009735","Romans anglais",,,200973,"NULL",,
"AVENTURIERES EN CRINOLINE","MOUCHARD C.","2000000009742","Romans français",,,200974,"NULL",,
"POVCHERI","CAUVIN P.","2000000009759","Romans français",,,200975,"NULL",,
"LES DAMES DU FAUBOURG","DIWO J.","2000000009766","Romans français",,,200976,"NULL",,
"MES RAYONS DE SOLEIL","NUCERA L.","2000000009773","Romans français",,,200977,"NULL",,
"CHRONIQUE DES MARBURG","COPPEL A.","2000000009780","Romans anglais",,,200978,"NULL",,
"L'ORDALIE","NOLIN T.","2000000009797","Romans français",,,200979,"NULL",,
"MONSIEUR BUTTERFLY","BUTEN H.","2000000009803","Romans anglais",,,200980,"NULL",,
"DEMAIN DANS LA BATAILLE PENSE A MOI","MARIAS J.","2000000009810","Romans espagnols",,,200981,"NULL",,
"TÉLÉRAMA : LA DISCOTHÈQUE IDÉALE","NULL","2000000041421","Romans, divers","2005-03-11T00:00:00.000Z",,204142,"NULL",,
"MEURTRE SUR UN BATEAU DE FLEURS","VAN GULIK","2000000009834",,,,200983,"NULL",,
"ZONE","DEGAUDEWZI","2000000009841","Romans français",,,200984,"NULL",,
"NEONS","BELLOC D.","2000000009858","Romans français",,,200985,"NULL",,
"UNE FAMILLE","LOZERECH B.","2000000009865","Romans français",,,200986,"NULL",,
"L'EGAL DE DIEU","ABSIRE A.","2000000009872","Romans français",,,200987,"NULL",,
"LE CONTRAT DE ZURICH","GRANGER B.","2000000009889",,,,200988,"NULL",,
"LES GRANDS DESORDRES","CARDINAL M.","2000000009896","Romans français",,,200989,"NULL",,
"LE MAITRE DES ABEILLES","VINCENOT H.","2000000009919","Romans français",,,200991,"NULL",,
"MAISON DE FAMILLE","TILLINAC D.","2000000009926","Romans français",,,200992,"NULL",,
"AUTOPSIE D'UNE ETOILE","DECOIN D.","2000000009933","Romans français",,,200993,"NULL",,
"LA NUIT SACREE","BEN JELLOUN T.","2000000009940","Romans français",,,200994,"NULL",,
"EVE","HOCQUENGHEIM G.","2000000009964","Romans français",,,200996,"NULL",,
"LE CAVALIER BLESSE","ROUART J. M.","2000000009971","Romans français",,,200997,"NULL",,
"IMPASSE PIQUE","FAURE P.","2000000009995","Romans français",,,200999,"NULL",,
"LES POMMES NOIRES","MARTAINE F.","2000000010014","Romans français",,,201001,"NULL",,
"L'AFFAIRE DE LA MOME MOINEAU","BORNICHE R.","2000000010038",,,,201003,"NULL",,
"LADY FANTOME","IRISH W.","2000000010045",,,,201004,"NULL",,
"STONE 588","BROWNE G. A.","2000000010052",,,,201005,"NULL",,
"L'ENFANT CREPUSCULE","ADLER W.","2000000010069","Romans anglais",,,201006,"NULL",,
"L'IRLANDAIS","HIGGINS J.","2000000010076",,,,201007,"NULL",,
"LE MARIN DES SABLES","RAGON M.","2000000010083","Romans français",,,201008,"NULL",,
"UNE INVITATION POUR MATLOCK","LUDLUM R.","2000000010106","Romans anglais",,,201010,"NULL",,
"LA DAME DE BERLIN","FRANCK - VAUTRIN F.","2000000010113","Romans français",,"2006-04-14T00:00:00.000Z",201011,"NULL",,
"SUR LA PEAU DU DIABLE","AVRIL N.","2000000010120","Romans français",,,201012,"NULL",,
"NEE COMME CA : T 1","LEGRIX D.","2000000010137",,,,201013,"NULL",,
"LES VENDANGES DU SILENCE","LAXER G.","2000000010144","Romans français",,,201014,"NULL",,
"BRUME","KING S.","2000000010151",,,,201015,"NULL",,
"MORT A CHYPRE","KAYE M. M.","2000000010168",,,,201016,"NULL",,
"TOUTE MA VIE SERA MENSONGE","TROYAT H.","2000000010175","Romans français",,,201017,"NULL",,
"HOTEL DU LAC","BROOKNER A.","2000000010182","Romans anglais",,,201018,"NULL",,
"LA COLLINE D'EN FACE","PAYSAN C.","2000000010205","Romans français",,,201020,"NULL",,
"DOSADI","HERBERT F.","2000000010212",,,,201021,"NULL",,
"MISAYRE MISAYRE","SALVAING F.","2000000010229","Romans français",,,201022,"NULL",,
"PRIMA DONNA","SAINT-ROCH E.","2000000010236","Romans français",,,201023,"NULL",,
"L'ETOILE DES GITANS","SILVERBERG R.","2000000010243",,,,201024,"NULL",,
"LE TIGRE BLANC","NATHAN R. S.","2000000010250",,,,201025,"NULL",,
"CHOSES DITES DE PROFIL","BOUCHARDEAU H.","2000000010267","Romans français",,,201026,"NULL",,
"LE JAUNE","AXELRAD E.","2000000010274","Romans français",,,201027,"NULL",,
"REMISE DE PEINE","MODIANO P.","2000000010281","Romans français",,,201028,"NULL",,
"CHANTIER","BACHMAN R.","2000000010298",,,,201029,"NULL",,
"LES VAISSEAUX DU COEUR","GROULT B.","2000000010311","Romans français",,,201031,"NULL",,
"JEANNE LA POLONAISE","VIOLLIER Y.","2000000010328","Romans français",,,201032,"NULL",,
"FENETRES SUR FEMMES","RAYNAL P.","2000000010359",,,,201035,"NULL",,
"LE TAPIS DU ROI SALOMON","VINE B.","2000000010366",,,,201036,"NULL",,
