234;"3227";"BD";2014-07-22;2014-08-06
193;"F522";"CD";2006-09-29;2006-10-13
196;"431";"livres";2009-12-21;2010-01-18
262;"2317";"livres";2014-04-22;2014-05-20
40;"60M2014HS1774";"revues";2014-07-29;2014-08-05
193;"F433";"CD";2006-09-29;2006-10-13
193;"F393";"CD";2006-09-29;2006-10-13
193;"F502";"CD";2006-09-29;2006-10-13
196;"283";"livres";2009-12-21;2010-01-18
193;"F636";"CD";2006-09-29;2006-10-13
157;"F2141";"CD";2014-07-08;2014-07-22
83;"4702";"livres";2014-07-15;2014-08-12
96;"2857";"BD";2014-07-29;2014-08-13
244;"4255";"livres";2010-09-28;2010-10-26
244;"4252";"livres";2010-09-28;2010-10-26
193;"F635";"CD";2006-09-29;2006-10-13
262;"441";"livres";2014-07-31;2014-08-28
193;"F678";"CD";2006-09-29;2006-10-13
2;"3391";"BD";2014-05-20;2014-05-27
196;"1200";"livres";2009-12-21;2010-01-18
262;"742";"livres";2014-04-22;2014-05-20
262;"1698";"livres";2014-04-22;2014-05-20
262;"1048";"livres";2014-07-31;2014-08-28
4;" 1394";"livres";2011-04-08;2011-05-06
217;"3359";"BD";2014-07-08;2014-07-23
193;"F375";"CD";2006-10-04;2006-10-18
31;"4675";"livres";2014-07-08;2014-08-05
196;"1708";"livres";2009-12-21;2010-01-18
262;"2011";"livres";2014-04-22;2014-05-20
193;"F685";"CD";2006-09-29;2006-10-13
262;"1115";"livres";2014-04-22;2014-05-20
196;"997";"livres";2009-12-21;2010-01-18
196;"1871";"livres";2009-12-21;2010-01-18
196;"339";"livres";2009-12-21;2010-01-18
245;"2481";"BD";2011-07-06;2011-07-13
193;"F559";"CD";2006-09-29;2006-10-13
193;"F346";"CD";2006-09-29;2006-10-13
193;"F152";"CD";2006-09-29;2006-10-13
193;"F876";"CD";2006-09-29;2006-10-13
47;"3402";"BD";2014-08-05;2014-08-20
62;"517";"DVD";2014-07-22;2014-08-05
193;"F288";"CD";2006-09-29;2006-10-13
166;"1541";"livres";2014-08-19;2014-09-16
193;"F607";"CD";2006-09-29;2006-10-13
165;"4614";"livres";2014-07-15;2014-08-12
193;"F578";"CD";2006-09-29;2006-10-13
262;"843";"livres";2014-04-22;2014-05-20
193;"F512";"CD";2006-09-29;2006-10-13
