1;"Administrators";0;1;1;1;1;1;1;0;0;3;0;5;5
2;"Registered";1024;0;1;0;1;0;0;0;0;3;0;1;3
3;"Guests";0;0;1;0;0;0;0;0;0;3;0;5;3
4;"Banned";0;0;0;0;0;0;0;0;0;0;0;0;0
5;"oenologie";0;0;1;1;1;0;0;0;0;3;0;3;3
6;"prix litteraire";0;0;1;1;1;1;1;1;1;3;0;3;3
7;"clas";0;0;1;1;1;1;1;1;1;3;0;3;3
8;"activité sport";200000;0;1;1;1;1;1;1;1;3;0;3;3
9;"concours photo";200000;0;1;1;1;1;0;1;1;3;0;3;3
10;"";0;0;0;0;0;0;0;1;1;3;0;5;3
11;"";0;0;0;0;0;0;0;1;1;3;0;5;3
