71;"DESCARGUES P.";"LE MUSEE DE L'ERMITAGE : LENINGRAD";"708";NULL;NULL;NULL;NULL
73;"DOUTRELANT P.";"LES BONS VINS ET LES AUTRES";"641";NULL;NULL;NULL;NULL
74;"DROUIN H.";"COMMENT REUSSIR SON TROISIEME AGE";"618";NULL;NULL;NULL;NULL
76;"DUBOS R.";"LES DIEUX DE L'ECOLOGIE";"303";NULL;NULL;NULL;NULL
79;"DUPAS A.";"LA LUTTE POUR L'ESPACE";"500";NULL;NULL;NULL;NULL
80;"ROME J.";"LES MAYAS";"930";NULL;NULL;NULL;NULL
82;"ESCARPIT";"VIVRE LA GAUCHE";"320";NULL;NULL;NULL;NULL
83;"D'ESPEZEL ET FOSCA";"HISTOIRE DE LA PEINTURE";"750";NULL;NULL;NULL;NULL
84;"JOFFO J.";"UN SAC DE BILLES";"808";NULL;NULL;NULL;NULL
85;"FALLET R.";"LE BEAUJOLAIS NOUVEAU EST ARRIVE";"808";NULL;NULL;NULL;NULL
86;"VASQUEZ F.";"AGUIRRE OU LA FIEVRE DE L'INDEPENDANCE";"910";NULL;NULL;NULL;NULL
87;"FERARI O.";"LES TRESORS D'ART DU VATICAN";"708";NULL;NULL;NULL;NULL
88;"FORNERET X.";"CONTES POPULAIRES ET LEGENDES DE BOURGOGNE";"398";NULL;NULL;NULL;NULL
89;"FRANCOIS D.";"L'ELECTRICITE EN 10 LECONS";"644";NULL;NULL;NULL;NULL
90;"FRISON-ROCHE R.";"PREMIER DE CORDEE";"808";NULL;NULL;NULL;NULL
91;"GALLO M.";"QUE SONT LES SIECLES POUR LA MER ?";"808";NULL;NULL;2006-04-14;NULL
92;"GARAS K.";"LES MUSEES DES BEAUX ARTS DE BUDAPEST";"708";NULL;NULL;NULL;NULL
93;"GAUSSEL A.";"UN PANIER DE MENSONGES";"640";NULL;NULL;NULL;NULL
94;"GELLY J.";"MOI, CLAIRE";"808";NULL;NULL;NULL;NULL
95;"GRAY M.";"LA VIE RENAITRA DE LA NUIT";"920";NULL;NULL;NULL;NULL
96;"GOMEZ ARCOS A.";"ANA, NON";"808";NULL;NULL;NULL;NULL
97;"GOUGAUD H.";"LE GRAND PARTIR";"808";NULL;NULL;NULL;NULL
98;"GRAINVILLE P.";"LES FLAMBOYANTS";"808";NULL;NULL;NULL;NULL
99;"GREENE G.";"LA FIN D'UNE LIAISON";"810";NULL;NULL;NULL;NULL
100;"GREENE G.";"LE CONSUL HONORAIRE";"810";NULL;NULL;NULL;NULL
101;"GREENE G.";"TUEUR A GAGES";"P 810";NULL;NULL;NULL;NULL
102;"GREGOIRE J. A.";"50 ANS D'AUTOMOBILE";"796";NULL;NULL;NULL;NULL
103;"GREPH";"QUI A PEUR DE LA PHILISOPHIE ?";"100";NULL;NULL;NULL;NULL
104;"GROS B.";"UNE MAISON POUR CHAQUE FRANCAIS";"710";NULL;NULL;NULL;NULL
105;"BIANCHINI ET AL";"DES PLANTES ET DES FLEURS (GUIDE VERT)";"580";NULL;NULL;NULL;NULL
106;"";"GUIDE DE VOS DROITS ET DEMARCHES";"344";NULL;NULL;NULL;NULL
107;"GUILLON J.";"CET ENFANT QUI SE DROGUE, C'EST LE MIEN";"616";NULL;NULL;NULL;NULL
108;"GUINESS";"LE LIVRE DES RECORDS";"301";NULL;NULL;NULL;NULL
109;"BORNICHE R.";"HOMICIDE BOULEVARD";"P 808";NULL;NULL;NULL;NULL
110;"HARRIS - SEDOUY";"LES PATRONS";"301";NULL;NULL;NULL;NULL
112;"HELIAS P. J.";"LA SAGESSE DE LA TERRE";"301";NULL;NULL;NULL;NULL
113;"HELIAS P. J.";"LE CHEVAL D'ORGUEIL";"808";NULL;NULL;NULL;NULL
114;"HELIAS P. J.";"LES AUTRES ET LES MIENS";"808";NULL;NULL;NULL;NULL
115;"HEMINGWAY E.";"LES NEIGES DU KILIMANDJARO";"810";NULL;NULL;NULL;NULL
116;"TOLKIEN J. R. R.";"CONTES ET LEGENDES INACHEVES";"SF 810";NULL;NULL;NULL;NULL
117;"HOYLE F. - G.";"AU PLUS PROFOND DE L'ESPACE";"SF 809";NULL;NULL;NULL;NULL
118;"ILLICH Y.";"ENERGIE ET EQUITE";"621";NULL;NULL;NULL;NULL
119;"JACCHIA E.";"L'AFFAIRE PLUMBAT";"355";NULL;NULL;NULL;NULL
120;"JACOB F.";"LA LOGIQUE DU VIVANT";"574";NULL;NULL;NULL;NULL
121;"JUQUIN P.";"ACTUALISATION A DOSSIERS OUVERTS";"320";NULL;NULL;NULL;NULL
122;"KASTLER A.";"CETTE ETRANGE MATIERE";"539";NULL;NULL;NULL;NULL
123;"KEMPF B.";"GUIDE PRATIQUE DE LA MONTAGNE";"796";NULL;NULL;NULL;NULL
124;"KOLOSIMO P.";"LE MONDE DES REVES";"135";NULL;NULL;NULL;NULL
125;"ROBAUX P.";"LES RUES DE NANCY";"912";NULL;NULL;NULL;NULL
126;"LAMOUR DE CHALENDAR";"PRENDRE LE TEMPS DE VIVRE";"305";NULL;NULL;NULL;NULL
127;"LANZMANN J.";"LE TETARD";"808";NULL;NULL;NULL;NULL
128;"LEFRANC G";"HISTOIRE DU TRAVAIL";"331";NULL;NULL;NULL;NULL
129;"LEPRINCE - RINGUET L.";"LE GRAND MERDIER";"301";NULL;NULL;NULL;NULL
130;"LESSING D.";"LE CARNET D'OR";"810";NULL;NULL;NULL;NULL
131;"LEVY - LEBLAND";"AUTOCRITIQUE DE LA SCIENCE";"500";NULL;NULL;NULL;NULL
48;"LIEUTAGHI P.";"ENVIRONNEMENT VEGETAL";"580";NULL;NULL;NULL;NULL
132;"LONDON J.";"LES ENFANTS DU FROID";"809";NULL;NULL;NULL;NULL
133;"LOVECRAFT";"L'HORREUR DANS LE MUSEE";"SF 810";NULL;NULL;NULL;NULL
134;"LOVINS A.";"STRATEGIES ENERGETIQUES PLANETAIRES";"621";NULL;NULL;NULL;NULL
135;"LUCAS";"LA GUERRE DES ETOILES";"808";NULL;NULL;NULL;NULL
137;"MACCIOCHI M. A.";"DE LA FRANCE";"320";NULL;NULL;NULL;NULL
138;"MACHIAVEL";"LE PRINCE";"320";NULL;NULL;NULL;NULL
139;"SEIGNOBOS C.";"BABYLONE";"930";NULL;NULL;NULL;NULL
140;"MALAURIE";"LES DERNIERS ROIS DE THULE";"302";NULL;NULL;NULL;NULL
143;"PARISOT R.";"HISTOIRE DE LORRAINE : TOME 1 (ORIGINE-1552)";"940";NULL;NULL;NULL;NULL
144;"HUTCHINSON";"SUR LES TRACES DU YETI";"915";NULL;NULL;NULL;NULL
145;"MARCHAIS G.";"PARLONS FRANCHEMENT";"320";NULL;NULL;NULL;NULL
146;"MARTIN.";"IL SERAIT UNE FOIS";"808";NULL;NULL;NULL;NULL
147;"MATEI";"PROTECTION ET POLLUTION DE L'ATMOSPHERE";"303";NULL;NULL;NULL;NULL
148;"MAURICE";"BRUNO, MON FILS";"616";NULL;NULL;NULL;NULL
149;"MEAD";"MOEURS ET SEXUALITE EN OCEANIE";"572";NULL;NULL;NULL;NULL
150;"MEMMI";"LE DESERT";"809";NULL;NULL;NULL;NULL
151;"MICHEL";"AVOIR VINGT ANS EN CHINE A LA CAMPAGNE";"301";NULL;NULL;NULL;NULL
152;"MICHENER";"COLORADO SAGA";"810";NULL;NULL;NULL;NULL
153;"MILLER H.";"TROPIQUE DU CANCER";"810";NULL;NULL;NULL;NULL
154;"MITTERAND F.";"POLITIQUE";"320";NULL;NULL;NULL;NULL
155;"";"MOSAIQUE SUD-AFRICAINE";"916";NULL;NULL;NULL;NULL
156;"MOORCRAFT";"LA MER DOIT-ELLE MOURIR ?";"303";NULL;NULL;NULL;NULL
157;"SUYIN H.";"MA MAISON A DEUX PORTES";"810";NULL;NULL;NULL;NULL
159;"MORRIS";"LE SINGE NU";"301";NULL;NULL;NULL;NULL
160;"MULLER";"VELASQUEZ";"750";NULL;NULL;NULL;NULL
162;"TAVENEAUX";"HISTOIRE DE NANCY";"944";NULL;NULL;NULL;NULL
163;"SUYIN H.";"UN ETE SANS OISEAUX";"920";NULL;NULL;NULL;NULL
164;"NORA - MINC";"L'INFORMATIQUE DE LA SOCIETE";"1";NULL;NULL;NULL;NULL
165;"OLIVENSTEIN";"IL N'Y A PAS DE DROGUES HEUREUX";"616";NULL;NULL;NULL;NULL
166;"TROYAT H.";"ALEXANDRE II";"808";NULL;NULL;NULL;NULL
167;"PEROT";"LE POUVOIR FEMININ";"301";NULL;NULL;NULL;NULL
169;"PILHES";"L'IMPRECATEUR";"808";NULL;NULL;NULL;NULL
170;"POTTIER";"LES SOUCOUPES VOLANTES";"SF 808";NULL;NULL;NULL;NULL
171;"KIRCHER D.";"LE MAITRE DES STEPPES";"808";NULL;NULL;NULL;NULL
172;"SOISSON J. P.";"BYZANCE";"930";NULL;NULL;NULL;NULL
173;"PUISEUX";"LA BABEL NUCLEAIRE";"621";NULL;NULL;NULL;NULL
175;"REICHENBACH";"LA CROISSANCE ZERO";"330";NULL;NULL;NULL;NULL
176;"RENAUD";"COMMENT AVOIR PLUS DE MEMOIRE";"153";NULL;NULL;NULL;NULL
177;"RENAULT";"COMMENT PLACER SON ARGENT";"332";NULL;NULL;NULL;NULL
178;"RICHARD";"ENCYCLOPEDIE DE L'EXPRESSIONISME";"750";NULL;NULL;NULL;NULL
179;"DE RIVOYRE C.";"BOY";"808";NULL;NULL;NULL;NULL
180;"TUCHMAN B. W.";"UN MIROIR LOINTAIN";"940";NULL;NULL;NULL;NULL
181;"ROQUEPLO";"LE PARTAGE DU SAVOIR";"500";NULL;NULL;NULL;NULL
182;"ROSE";"L'IDEOLOGIE DE DANS LA SCIENCE";"500";NULL;NULL;NULL;NULL
183;"VARTIER J.";"HISTOIRE DE NOTRE LORRAINE";"940";NULL;NULL;NULL;NULL
184;"RUSTANT";"VERS LA SEMAINE DE 30 HEURES";"301";NULL;NULL;NULL;NULL
185;"RUYER R.";"LA GNOSE DE PRINCETON";"100";NULL;NULL;NULL;NULL
186;"RUYER R.";"LES CENT PROCHAINS SIECLES";"301";NULL;NULL;NULL;NULL
187;"EXBRAYAT C.";"EN SOUVENIR D'ALICE";"P 808";NULL;NULL;NULL;NULL
189;"SAINT-MARC";"SOCIALISATION DE LA NATURE";"303";NULL;NULL;NULL;NULL
190;"SAKHAROV";"UN AN DE LUTTE";"320";NULL;NULL;NULL;NULL
191;"SAMUEL C.";"PROKOFIEV";"780";NULL;NULL;NULL;NULL
192;"SANCHEZ T.";"RABBIT BOSS";"809";NULL;NULL;NULL;NULL
193;"SANGUINETTI A.";"L'ARMEE, POUR QUOI FAIRE";"355";NULL;NULL;NULL;NULL
194;"SCHOENDOERFFER P.";"LE CRABE-TAMBOUR";"808";NULL;NULL;NULL;NULL
196;"TROYAT H.";"PIERRE LE GRAND";"920";NULL;NULL;NULL;NULL
197;"SEGUY G.";"LE MAI DE LA C.G.T.";"329";NULL;NULL;NULL;NULL
199;"SIFFRE M.";"DES MERVEILLES SOUS LA TERRE";"796";NULL;NULL;NULL;NULL
200;"SOCIALISTE (PARTI)";"89 REPONSES AUX QUESTIONS ECONOMIQUES";"329";NULL;NULL;NULL;NULL
201;"COLLECTIF";"HISTOIRE DE NANCY";"940";NULL;NULL;NULL;NULL
202;"SMITH H.";"LES RUSSES";"301";NULL;NULL;NULL;NULL
203;"SOLJENITSYNE A.";"GOULAG : T 1";"301";NULL;NULL;NULL;NULL
204;"SOLJENITSYNE A.";"GOULAG : T 2";"301";NULL;NULL;NULL;NULL
205;"SOLJENITSYNE A.";"GOULAG : T 3";"301";NULL;NULL;NULL;NULL
206;"SOUVERBIE M. T.";"CONTES POPULAIRES DE PROVENCE";"398";NULL;NULL;NULL;NULL
207;"STEINBECK J.";"A L'EST D'EDEN";"810";NULL;NULL;NULL;NULL
208;"STEINBECK J.";"DES SOURIS ET DES HOMMES";"810";NULL;NULL;NULL;NULL
